location,total_mentions,total_unique_comments
Dhaka,1568,1528
Chattogram,363,334
Barishal,166,150
Khulna,149,144
Sylhet,118,102
Cumilla,102,85
Gazipur,99,97
Mymensingh,81,81
Rangpur,80,78
Rajshahi,72,65
Noakhali,69,69
Chandpur,45,45
Tangail,43,43
Cox's Bazar,42,38
Pabna,40,40
Kishoreganj,39,39
Bogura,37,33
Narayanganj,36,36
Sirajganj,35,35
Feni,33,31
Bhola,33,33
Jessore,32,32
Jamalpur,28,28
Dinajpur,28,28
Kushtia,28,28
Lakshmipur,27,27
Faridpur,26,26
Narsingdi,26,26
Brahmanbaria,24,24
Satkhira,20,20
Sherpur,18,18
নরসিংদী,18,18
Bagerhat,17,17
Patuakhali,16,16
Munshiganj,16,16
Natore,16,16
কিশোরগঞ্জ,16,16
Habiganj,13,13
Manikganj,13,13
Sunamganj,13,13
Thakurgaon,12,12
Panchagarh,12,12
Lalmonirhat,12,12
Magura,11,11
Naogaon,10,10
বগুড়া,10,10
পাবনা,9,9
Narail,9,8
চাঁদপুর,8,8
Pirojpur,8,8
Madaripur,8,8
Nilphamari,8,8
ফরিদপুর,7,7
যশোর,7,7
Rangamati,7,7
ময়মনসিংহ,7,7
নোয়াখালী,7,7
Gopalganj,7,7
Jhenaidah,7,7
Barguna,6,6
নাটোর,6,6
ভোলা,6,6
Shariatpur,6,6
Bandarban,6,6
দিনাজপুর,5,5
ঝিনাইদহ,5,5
Joypurhat,5,5
Rajbari,5,5
কুষ্টিয়া,5,5
Netrokona,5,5
Jashore,5,5
Kurigram,4,4
ঠাকুরগাঁও,4,4
সুনামগঞ্জ,4,4
জামালপুর,4,4
ব্রাহ্মণবাড়িয়া,3,3
নীলফামারী,3,3
পঞ্চগড়,3,3
নওগাঁ,3,3
সাতক্ষীরা,3,3
মৌলভীবাজার,3,3
Chapainawabganj,3,3
Moulvibazar,3,3
চাঁপাইনবাবগঞ্জ,3,3
সিরাজগঞ্জ,3,3
গাইবান্ধা,3,3
Gaibandha,3,3
বান্দরবান,2,2
Chuadanga,2,2
বরগুনা,2,2
মানিকগঞ্জ,2,2
লালমনিরহাট,2,2
পিরোজপুর,2,2
শেরপুর,2,2
শরীয়তপুর,2,2
রাঙ্গামাটি,1,1
রাজবাড়ী,1,1
লক্ষ্মীপুর,1,1
চুয়াডাঙ্গা,1,1
মাগুরা,1,1
বাগেরহাট,1,1
পটুয়াখালী,1,1
নারায়ণগঞ্জ,1,1
টাঙ্গাইল,1,1
ঝালকাঠি,1,1
গোপালগঞ্জ,1,1
খাও হালুয়া,1,1
কুড়িগ্রাম,1,1
Jhalokati,1,1
Meherpur,1,1
হবিগঞ্জ,1,1
