group,rank,term,score
12.02.26 —- 17.02.26 - Sheet1,1,র,0.08065011658751524
12.02.26 —- 17.02.26 - Sheet1,2,ক,0.06602306618463764
12.02.26 —- 17.02.26 - Sheet1,3,য,0.05755532907526019
12.02.26 —- 17.02.26 - Sheet1,4,ত,0.05643580727726736
12.02.26 —- 17.02.26 - Sheet1,5,দ,0.05045716197057454
12.02.26 —- 17.02.26 - Sheet1,6,ম,0.04946335203357277
12.02.26 —- 17.02.26 - Sheet1,7,ন,0.04098482360049135
12.02.26 —- 17.02.26 - Sheet1,8,ল,0.04063634543069613
12.02.26 —- 17.02.26 - Sheet1,9,য দ,0.03983563291141552
12.02.26 —- 17.02.26 - Sheet1,10,ধ,0.03890859618334334
12.02.26 —- 17.02.26 - Sheet1,11,ব,0.035999123524692596
12.02.26 —- 17.02.26 - Sheet1,12,দ ধ,0.03513423956692709
12.02.26 —- 17.02.26 - Sheet1,13,ক ত,0.03501476275398186
12.02.26 —- 17.02.26 - Sheet1,14,স,0.034377831803743666
12.02.26 —- 17.02.26 - Sheet1,15,মন ত,0.033749082291842696
18.02.26 —--- 01.03.26 - Sheet1,1,র,0.06406942390823862
18.02.26 —--- 01.03.26 - Sheet1,2,ত,0.05640662315327346
18.02.26 —--- 01.03.26 - Sheet1,3,ন,0.05262615425021436
18.02.26 —--- 01.03.26 - Sheet1,4,ক,0.051932571575343124
18.02.26 —--- 01.03.26 - Sheet1,5,খ,0.04753266076691789
18.02.26 —--- 01.03.26 - Sheet1,6,য,0.04587400598338728
18.02.26 —--- 01.03.26 - Sheet1,7,ব,0.04370560948039036
18.02.26 —--- 01.03.26 - Sheet1,8,ল,0.039079951231887275
18.02.26 —--- 01.03.26 - Sheet1,9,ট,0.036904176901646296
18.02.26 —--- 01.03.26 - Sheet1,10,দ,0.03553893501249812
18.02.26 —--- 01.03.26 - Sheet1,11,স,0.031369503273330365
18.02.26 —--- 01.03.26 - Sheet1,12,ম,0.029696064188961195
18.02.26 —--- 01.03.26 - Sheet1,13,ই,0.02949679610874854
18.02.26 —--- 01.03.26 - Sheet1,14,প,0.02801180927445142
18.02.26 —--- 01.03.26 - Sheet1,15,ছ,0.024887190958134877
After Election,1,র,0.063713130731703
After Election,2,ল,0.06324427622962492
After Election,3,ন,0.05849120848500375
After Election,4,ক,0.05068516116240095
After Election,5,দ,0.049731557983594465
After Election,6,ব,0.036880820323466575
After Election,7,ত,0.036562954390585184
After Election,8,ম,0.03398698241116215
After Election,9,হ,0.03340110138812994
After Election,10,প,0.03019463622724315
After Election,11,ল ল,0.027644139460320363
After Election,12,স,0.0274127085500903
After Election,13,য,0.026607377072717445
After Election,14,ট,0.026112870048594364
After Election,15,শ,0.025758294102451413
After Forming Government,1,র,0.07344920272782154
After Forming Government,2,ন,0.06349764263885667
After Forming Government,3,ব,0.049349304026119034
After Forming Government,4,ক,0.048228440895800036
After Forming Government,5,ল,0.04536425505383686
After Forming Government,6,দ,0.04440650327305207
After Forming Government,7,ত,0.04266873211525942
After Forming Government,8,স,0.03980647941212469
After Forming Government,9,য,0.03806780522039308
After Forming Government,10,ম,0.03545239328322258
After Forming Government,11,জ,0.0328400210648618
After Forming Government,12,য়,0.027371207774493846
After Forming Government,13,প,0.027324909680519305
After Forming Government,14,শ,0.02723861636730667
After Forming Government,15,ই,0.026964190816643537
Before Election some,1,র,0.08041166672104472
Before Election some,2,ন,0.070226033501745
Before Election some,3,ব,0.05963395909345932
Before Election some,4,দ,0.054950427101020376
Before Election some,5,ল,0.04773174837311569
Before Election some,6,ক,0.04681803522904031
Before Election some,7,ম,0.04113804317779898
Before Election some,8,ত,0.04002971802121131
Before Election some,9,চ,0.037379074442123766
Before Election some,10,হ,0.03274387434590442
Before Election some,11,জ,0.0324219135755084
Before Election some,12,য,0.03126997610722083
Before Election some,13,স,0.030190745137267046
Before Election some,14,শ,0.028586863102952446
Before Election some,15,প,0.026534723077998392
